2025-07-23 18:32:55.413 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.work_orders: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:55.414 | ERROR    | src.sync_manager:sync_fsm_data:104 - Error during FSM sync: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:55.529 | ERROR    | src.supabase_client:update_sync_status:112 - Error updating sync status for zoho_fsm.work_orders: {'message': 'Error in update_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:55.530 | ERROR    | src.sync_manager:run_sync_cycle:231 - Error during sync cycle: {'message': 'Error in update_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:32:55.530 | ERROR    | src.sync_manager:start_continuous_sync:244 - Error in continuous sync: {'message': 'Error in update_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:37.178 | INFO     | src.sync_manager:initialize:18 - Initializing sync manager...
2025-07-23 18:33:37.695 | ERROR    | src.supabase_client:create_schema:24 - Error creating schema zoho_fsm: {'message': 'column reference "schema_name" is ambiguous', 'code': '42702', 'hint': None, 'details': 'It could refer to either a PL/pgSQL variable or a table column.'}
2025-07-23 18:33:37.807 | ERROR    | src.supabase_client:create_schema:24 - Error creating schema zoho_crm: {'message': 'column reference "schema_name" is ambiguous', 'code': '42702', 'hint': None, 'details': 'It could refer to either a PL/pgSQL variable or a table column.'}
2025-07-23 18:33:37.924 | ERROR    | src.supabase_client:create_schema:24 - Error creating schema zoho_inventory: {'message': 'column reference "schema_name" is ambiguous', 'code': '42702', 'hint': None, 'details': 'It could refer to either a PL/pgSQL variable or a table column.'}
2025-07-23 18:33:37.924 | INFO     | src.sync_manager:initialize:25 - Sync manager initialized successfully
2025-07-23 18:33:43.462 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.work_orders: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:43.566 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.customers: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:43.673 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.technicians: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:43.773 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.appointments: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:43.871 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.work_orders: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:43.978 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.customers: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:44.081 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.technicians: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:44.194 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_crm.appointments: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:44.297 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.work_orders: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:44.398 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.customers: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:44.498 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.technicians: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:44.610 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_inventory.appointments: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:44.612 | INFO     | src.sync_manager:start_continuous_sync:237 - Starting continuous sync with 300s interval
2025-07-23 18:33:44.612 | INFO     | src.sync_manager:run_sync_cycle:219 - Starting sync cycle...
2025-07-23 18:33:44.613 | INFO     | src.sync_manager:sync_fsm_data:29 - Starting FSM data sync...
2025-07-23 18:33:44.728 | ERROR    | src.supabase_client:get_sync_status:95 - Error getting sync status for zoho_fsm.work_orders: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:44.728 | ERROR    | src.sync_manager:sync_fsm_data:104 - Error during FSM sync: {'message': 'Error in get_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:44.837 | ERROR    | src.supabase_client:update_sync_status:112 - Error updating sync status for zoho_fsm.work_orders: {'message': 'Error in update_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:44.838 | ERROR    | src.sync_manager:run_sync_cycle:231 - Error during sync cycle: {'message': 'Error in update_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:44.838 | ERROR    | src.sync_manager:start_continuous_sync:244 - Error in continuous sync: {'message': 'Error in update_sync_status: relation "sync_status" does not exist', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:44.951 | ERROR    | src.supabase_client:get_records:62 - Error getting records from zoho_fsm.work_orders: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:44.952 | ERROR    | src.api:get_data:129 - Error getting data from zoho_fsm.work_orders: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:45.677 | ERROR    | src.supabase_client:get_records:62 - Error getting records from zoho_fsm.service_appointments: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:45.677 | ERROR    | src.api:get_data:129 - Error getting data from zoho_fsm.service_appointments: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:46.407 | ERROR    | src.supabase_client:get_records:62 - Error getting records from zoho_fsm.customers: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:46.408 | ERROR    | src.api:get_data:129 - Error getting data from zoho_fsm.customers: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:47.129 | ERROR    | src.supabase_client:get_records:62 - Error getting records from zoho_fsm.technicians: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:33:47.129 | ERROR    | src.api:get_data:129 - Error getting data from zoho_fsm.technicians: {'message': 'Error in get_records: permission denied for schema zoho_fsm', 'code': 'P0001', 'hint': None, 'details': None}
2025-07-23 18:34:44.840 | INFO     | src.sync_manager:run_sync_cycle:219 - Starting sync cycle...
2025-07-23 18:34:44.841 | INFO     | src.sync_manager:sync_fsm_data:29 - Starting FSM data sync...
